timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
574457439,5.1143556,0.0,0,0,1,0,0,0,0
574957439,5.10791,0.0,0,0,1,0,0,0,0
575467445,5.1111326,0.0,0,0,1,0,0,0,0
575967439,5.0998535,0.0,0,0,1,0,0,0,0
576467439,5.104687,0.0,0,0,1,0,0,0,0
576967439,5.0982423,0.0,0,0,1,0,0,0,0
577467439,5.1111326,0.0,0,0,1,0,0,0,0
577967439,5.117578,0.0,0,0,1,0,0,0,0
578467439,5.103076,0.0,0,0,1,0,0,0,0
578967438,5.0998535,0.0,0,0,1,0,0,0,0
579467439,5.0998535,0.0,0,0,1,0,0,0,0
579967439,5.106299,0.0,0,0,1,0,0,0,0
580467439,5.112744,0.0,0,0,1,0,0,0,0
580977439,5.0982423,0.0,0,0,1,0,0,0,0
581477439,5.0982423,0.0,0,0,1,0,0,0,0
581977439,5.0998535,0.0,0,0,1,0,0,0,0
582477439,5.115967,0.0,0,0,1,0,0,0,0
582977439,5.103076,0.0,0,0,1,0,0,0,0
583477439,5.0966306,0.0,0,0,1,0,0,0,0
583977439,5.103076,0.0,0,0,1,0,0,0,0
584477439,5.0950193,0.0,0,0,1,0,0,0,0
584977439,5.10791,0.0,0,0,1,0,0,0,0
585477439,5.106299,0.0,0,0,1,0,0,0,0
585977439,5.106299,0.0,0,0,1,0,0,0,0
586477439,5.0982423,0.0,0,0,1,0,0,0,0
586977439,5.1014647,0.0,0,0,1,0,0,0,0
587477439,5.112744,0.0,0,0,1,0,0,0,0
587977439,5.10791,0.0,0,0,1,0,0,0,0
588477439,5.1095214,0.0,0,0,1,0,0,0,0
588977439,5.0982423,0.0,0,0,1,0,0,0,0
589477439,5.103076,0.0,0,0,1,0,0,0,0
589977439,5.1111326,0.0,0,0,1,0,0,0,0
590487440,5.117578,0.0,0,0,1,0,0,0,0
590987439,5.0982423,0.0,0,0,1,0,0,0,0
591487439,5.0966306,0.0,0,0,1,0,0,0,0
591987439,5.1014647,0.0,0,0,1,0,0,0,0
592487439,5.0966306,0.0,0,0,1,0,0,0,0
592987439,5.1014647,0.0,0,0,1,0,0,0,0
593487439,5.0982423,0.0,0,0,1,0,0,0,0
593987445,5.1111326,0.0,0,0,1,0,0,0,0
594487439,5.0966306,0.0,0,0,1,0,0,0,0
594987439,5.0998535,0.0,0,0,1,0,0,0,0
595487439,5.1014647,0.0,0,0,1,0,0,0,0
595987439,5.1014647,0.0,0,0,1,0,0,0,0
596487439,5.0982423,0.0,0,0,1,0,0,0,0
596987473,5.1111326,0.0,0,0,1,0,0,0,0
597497453,5.0998535,0.0,0,0,1,0,0,0,0
597997439,5.091797,0.0,0,0,1,0,0,0,0
598497439,5.104687,0.0,0,0,1,0,0,0,0
598997452,5.104687,0.0,0,0,1,0,0,0,0
599497445,5.1143556,0.0,0,0,1,0,0,0,0
599997439,5.0998535,0.0,0,0,1,0,0,0,0
600497440,5.10791,0.0,0,0,1,0,0,0,0
600997439,5.0998535,0.0,0,0,1,0,0,0,0
601497439,5.0982423,0.0,0,0,1,0,0,0,0
601997439,5.0998535,0.0,0,0,1,0,0,0,0
602497439,5.104687,0.0,0,0,1,0,0,0,0
602997439,5.0998535,0.0,0,0,1,0,0,0,0
603497439,5.1143556,0.0,0,0,1,0,0,0,0
603997439,5.093408,0.0,0,0,1,0,0,0,0
604497439,5.0998535,0.0,0,0,1,0,0,0,0
604997439,5.10791,0.0,0,0,1,0,0,0,0
605497439,5.112744,0.0,0,0,1,0,0,0,0
605997439,5.1014647,0.0,0,0,1,0,0,0,0
606497439,5.10791,0.0,0,0,1,0,0,0,0
606997439,5.0950193,0.0,0,0,1,0,0,0,0
607507445,5.0966306,0.0,0,0,1,0,0,0,0
608007439,5.093408,0.0,0,0,1,0,0,0,0
608507439,5.0869627,0.0,0,0,1,0,0,0,0
609007441,5.104687,0.0,0,0,1,0,0,0,0
609507440,5.1014647,0.0,0,0,1,0,0,0,0
610007439,5.0966306,0.0,0,0,1,0,0,0,0
610507439,5.091797,0.0,0,0,1,0,0,0,0
611007439,5.093408,0.0,0,0,1,0,0,0,0
611507439,5.0901856,0.0,0,0,1,0,0,0,0
612007476,5.0901856,0.0,0,0,1,0,0,0,0
612507439,5.1095214,0.0,0,0,1,0,0,0,0
613007439,5.088574,0.0,0,0,1,0,0,0,0
613507439,5.0805173,0.0,0,0,1,0,0,0,0
614007439,5.0950193,0.0,0,0,1,0,0,0,0
