timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
614507439,5.0853515,0.0,0,0,1,0,0,0,0
615007439,5.0950193,0.0,0,0,1,0,0,0,0
615507438,5.067627,0.0,0,0,1,0,0,0,0
616007439,5.093408,0.0,0,0,1,0,0,0,0
616507439,5.077295,0.0,0,0,1,0,0,0,0
617017439,5.0966306,0.0,0,0,1,0,0,0,0
617517439,5.088574,0.0,0,0,1,0,0,0,0
618017439,5.082129,0.0,0,0,1,0,0,0,0
618517439,5.088574,0.0,0,0,1,0,0,0,0
619017439,5.0998535,0.0,0,0,1,0,0,0,0
619517439,5.0998535,0.0,0,0,1,0,0,0,0
620017439,5.093408,0.0,0,0,1,0,0,0,0
620517439,5.0853515,0.0,0,0,1,0,0,0,0
621017439,5.082129,0.0,0,0,1,0,0,0,0
621517439,5.082129,0.0,0,0,1,0,0,0,0
622017439,5.0966306,0.0,0,0,1,0,0,0,0
622517439,5.088574,0.0,0,0,1,0,0,0,0
623017439,5.0756836,0.0,0,0,1,0,0,0,0
623517440,5.0966306,0.0,0,0,1,0,0,0,0
624017439,5.0869627,0.0,0,0,1,0,0,0,0
624517439,5.078906,0.0,0,0,1,0,0,0,0
625017439,5.0853515,0.0,0,0,1,0,0,0,0
625517438,5.0853515,0.0,0,0,1,0,0,0,0
626017439,5.0724607,0.0,0,0,1,0,0,0,0
626517439,5.077295,0.0,0,0,1,0,0,0,0
627017446,5.0950193,0.0,0,0,1,0,0,0,0
627527438,5.0708494,0.0,0,0,1,0,0,0,0
628027439,5.067627,0.0,0,0,1,0,0,0,0
628527439,5.0660157,0.0,0,0,1,0,0,0,0
629027439,5.0805173,0.0,0,0,1,0,0,0,0
629527439,5.077295,0.0,0,0,1,0,0,0,0
630027439,5.0660157,0.0,0,0,1,0,0,0,0
630527439,5.0595703,0.0,0,0,1,0,0,0,0
631027439,5.0450683,0.0,0,0,1,0,0,0,0
631527439,5.057959,0.0,0,0,1,0,0,0,0
632027439,5.0482907,0.0,0,0,1,0,0,0,0
632527447,5.0563474,0.0,0,0,1,0,0,0,0
633027439,5.054736,0.0,0,0,1,0,0,0,0
633527439,5.062793,0.0,0,0,1,0,0,0,0
634037447,5.054736,0.0,0,0,1,0,0,0,0
634537439,5.0724607,0.0,0,0,1,0,0,0,0
635037439,5.0611815,0.0,0,0,1,0,0,0,0
635537439,5.0724607,0.0,0,0,1,0,0,0,0
636037439,5.053125,0.0,0,0,1,0,0,0,0
636537439,5.0611815,0.0,0,0,1,0,0,0,0
637037480,5.0740724,0.0,0,0,1,0,0,0,0
637537439,5.0756836,0.0,0,0,1,0,0,0,0
638037439,5.082129,0.0,0,0,1,0,0,0,0
638537439,5.0966306,0.0,0,0,1,0,0,0,0
639037439,5.0869627,0.0,0,0,1,0,0,0,0
639537439,5.0901856,0.0,0,0,1,0,0,0,0
640037439,5.093408,0.0,0,0,1,0,0,0,0
640537439,5.103076,0.0,0,0,1,0,0,0,0
641037439,5.106299,0.0,0,0,1,0,0,0,0
641537439,5.103076,0.0,0,0,1,0,0,0,0
642037439,5.104687,0.0,0,0,1,0,0,0,0
642537439,5.10791,0.0,0,0,1,0,0,0,0
643037440,5.10791,0.0,0,0,1,0,0,0,0
643537439,5.1111326,0.0,0,0,1,0,0,0,0
644047464,5.1111326,0.0,0,0,1,0,0,0,0
644547453,5.10791,0.0,0,0,1,0,0,0,0
645047439,5.10791,0.0,0,0,1,0,0,0,0
645547438,5.1014647,0.0,0,0,1,0,0,0,0
646047439,5.041846,0.0,0,0,1,0,0,0,0
646547447,5.088574,0.0,0,0,1,0,0,0,0
