timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
581007024,0,0,0,-17000,0,109.549,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
581207090,0,0,0,-17000,0,109.56701,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
581407059,0,0,0,-17000,0,109.586006,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
581608018,0,0,0,-17000,0,109.604004,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
581806117,0,0,0,-17000,0,109.622,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
582007091,0,0,0,-17000,0,109.64001,3.1415925,4294967.5,3750047.2,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
582206148,0,0,0,-17000,0,109.659004,3.1415925,4294967.5,3750047.2,99.99,99.99,101,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
582408183,0,0,0,-17000,0,109.677,3.1415925,4294967.5,3750047.2,99.99,99.99,101,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
582607021,0,0,0,-17000,0,109.69501,3.1415925,4294967.5,3750047.2,99.99,99.99,101,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
582806021,0,0,0,-17000,0,109.713005,3.1415925,4294967.5,3750047.2,99.99,99.99,101,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
583008016,0,0,0,-17000,0,109.731,3.1415925,4294967.5,3750047.2,99.99,99.99,101,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0
583207581,0,0,0,-17000,0,109.75001,3.1415925,4294967.5,3750047.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
583408016,0,0,0,-17000,0,109.768005,3.1415925,4294967.5,3750047.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
583606160,0,0,0,-17000,0,109.786,3.1415925,4294967.5,3750047.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
583806142,0,0,0,-17000,0,109.80401,3.1415925,4294967.5,3750047.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
584006133,0,0,0,-17000,0,109.823006,3.1415925,4294967.5,3750047.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
584207019,0,0,0,-17000,0,109.841,3.1415925,4294967.5,3750047.8,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
584406028,0,0,0,-17000,0,109.85901,3.1415925,4294967.5,3750047.8,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
584606143,0,0,0,-17000,0,109.87701,3.1415925,4294967.5,3750047.8,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
