timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
600493531,15.0716,15.016925,3.1743999,3.0956175,366.4242,0.58692414,1.0710034,4,1,1,0,0
600997589,15.088,15.020859,3.224,3.103573,366.85986,0.5884377,1.0707248,4,1,1,0,0
601491130,15.1044,15.013702,3.1992,3.0835032,367.27954,0.58568513,1.0712315,4,1,1,0,0
601996118,14.9978,15.016673,2.8644,3.086649,367.71307,0.5868273,1.0710212,4,1,1,0,0
602500731,15.0634,15.023479,3.0751998,3.0844047,368.1457,0.58944523,1.0705395,4,1,1,0,0
602992723,15.0634,15.020419,3.1743999,3.0872698,368.56677,0.5882695,1.0707557,4,1,1,0,0
603497575,15.0716,15.032147,3.3727999,3.1565325,369.0134,0.59402424,1.0696979,4,1,1,0,0
604003126,15.129,15.0309105,3.8191998,3.4587789,369.52966,0.59892875,1.068798,4,1,1,0,0
604495914,15.0634,15.022677,4.2655997,3.678805,370.0535,0.6019558,1.0682433,4,1,1,0,0
604999922,14.751801,14.997691,4.9104,4.097178,370.6626,0.60112756,1.068395,4,1,1,0,0
605504717,15.0060005,15.000803,5.1832,4.6313543,371.36737,0.61386925,1.0660658,4,1,1,0,0
605997575,14.7764,14.971002,5.9892,5.124276,372.11218,0.6129801,1.066228,4,1,1,0,0
606501586,14.965,14.951748,5.5428,5.4057345,372.89606,0.61528224,1.0658082,4,1,1,0,0
607007174,14.9732,14.925896,6.3736,5.7183294,373.7254,0.6133926,1.0661528,4,1,1,0,0
607499930,15.0798,14.900354,7.0308,6.222413,374.62073,0.6129936,1.0662255,4,1,1,0,0
608004725,14.8912,14.865588,7.2043996,6.7223506,375.61023,0.60998994,1.0667739,4,1,1,0,0
608508821,14.7026005,14.833312,7.9484,7.2601986,376.67633,0.6080209,1.0671337,4,1,1,0,0
609001606,14.6124,14.807693,8.4567995,7.889199,377.816,0.60879624,1.0669919,4,1,1,0,0
609507202,14.8092,14.793032,9.684401,8.594465,379.09033,0.6141664,1.0660115,4,1,1,0,0
609999997,14.76,14.759475,9.7836,9.115336,380.39178,0.6107079,1.0666428,4,1,1,0,0
610503929,14.751801,14.731582,10.5152,9.614482,381.78265,0.6088283,1.0669861,4,1,1,0,0
611008715,14.6042,14.677843,11.246799,10.255785,383.27948,0.5979021,1.0689862,4,1,1,0,0
611502231,14.4976,14.641741,11.47,11.0583,384.86572,0.5950037,1.0695181,4,1,1,0,0
612005627,14.801,14.571509,13.3672,11.926986,386.61832,0.5799027,1.0722976,4,1,1,0,0
612511202,14.6288,14.5466385,13.3796,12.52875,388.4389,0.5794052,1.0723894,4,1,1,0,0
613003915,14.7846,14.53268,13.4168,12.841978,390.2292,0.57986706,1.0723041,4,1,1,0,0
613508718,14.2762,14.508415,12.809199,12.856327,392.0347,0.5744718,1.0733007,4,1,1,0,0
614012719,14.637,14.488687,13.3052,12.986861,393.86438,0.56946653,1.074227,4,1,1,0,0
614505516,14.473001,14.4767475,13.1564,13.106569,395.6718,0.56653535,1.0747701,4,1,1,0,0
615011195,14.268,14.46429,13.392,13.07175,397.5019,0.56286484,1.075451,4,1,1,0,0
615515920,14.2024,14.4427395,12.7472,13.104662,399.3454,0.5553106,1.0768551,4,1,1,0,0
616008063,14.3992,14.445188,13.2184,13.03898,401.1222,0.55672574,1.0765917,4,1,1,0,0
616512958,14.3746,14.443157,12.9828,12.990502,402.94156,0.55626464,1.0766776,4,1,1,0,0
617006265,14.5304,14.446472,12.722401,13.00306,404.72406,0.5577448,1.0764022,4,1,1,0,0
617511147,14.2024,14.440044,12.623199,13.018264,406.55023,0.55541086,1.0768363,4,1,1,0,0
618015200,14.432,14.437565,13.106799,13.008882,408.37216,0.55454725,1.0769972,4,1,1,0,0
618507930,14.391,14.429801,13.392,12.974413,410.14633,0.55161947,1.0775424,4,1,1,0,0
619012715,14.1696005,14.433434,12.809199,13.008646,411.97488,0.5530553,1.0772749,4,1,1,0,0
619517849,14.555,14.42803,13.2556,12.960028,413.789,0.5510038,1.0776571,4,1,1,0,0
620009530,14.5468,14.417599,13.8012,13.232977,415.6152,0.548215,1.0781773,4,1,1,0,0
620515134,14.4566,14.392705,14.6196,13.843695,417.6149,0.5427136,1.0792046,4,1,1,0,0
621019923,14.0056,14.356607,14.57,14.474741,419.70453,0.5339948,1.0808368,4,1,1,0,0
621512715,14.3746,14.303231,16.0828,15.142632,421.83942,0.51879364,1.0836945,4,1,1,0,0
622016715,14.3828,14.2857,16.479599,15.862787,424.13065,0.5179772,1.0838484,4,1,1,0,0
622522399,14.2516,14.264748,17.2484,16.480112,426.5068,0.51554793,1.0843066,4,1,1,0,0
623015141,13.9728,14.230837,17.98,17.241175,428.93912,0.5085862,1.0856217,4,1,1,0,0
623520658,14.218801,14.181579,19.5672,18.008436,431.54022,0.49626884,1.0879567,4,1,1,0,0
624023916,14.0138,14.138022,19.0712,18.576284,434.1965,0.48536992,1.090031,4,1,1,0,0
624516730,13.899,14.122956,19.4804,19.222527,436.88895,0.48511767,1.0900792,4,1,1,0,0
625022344,14.1942005,14.092531,21.067598,20.059427,439.79175,0.48014182,1.0910289,4,1,1,0,0
625515125,13.7104,14.061761,21.7372,20.962296,442.7496,0.47529116,1.0919565,4,1,1,0,0
626019197,13.489,14.006798,22.7292,22.041235,445.9389,0.46269932,1.0943714,4,1,1,0,0
626523930,13.661201,13.942649,24.118,23.044983,449.26776,0.4466829,1.0974587,4,1,1,0,0
627016798,13.5956,13.89047,25.3208,24.127975,452.6702,0.43548808,1.099627,4,1,1,0,0
627520796,13.7924,13.818688,27.218,25.424795,456.34564,0.41751924,1.1031252,4,1,1,0,0
628025590,13.5546,13.74534,28.594398,26.815119,460.24454,0.3998906,1.1065788,4,1,1,0,0
628519198,13.653,13.683875,29.0532,28.155163,464.23764,0.38639876,1.1092368,4,1,1,0,0
629023958,13.366,13.612972,30.528801,29.256884,468.44498,0.36846858,1.1127888,4,1,1,0,0
629527916,13.1364,13.51836,33.418,30.825165,472.89465,0.3432997,1.1178135,4,1,1,0,0
630020730,13.1528,13.438885,35.2408,32.621197,477.53665,0.32488242,1.1215191,4,1,1,0,0
630526318,13.161,13.351515,37.001602,34.560974,482.5832,0.30426723,1.1256962,4,1,1,0,0
631019932,12.8986,13.251022,38.688,36.29517,487.72592,0.27858728,1.1309432,4,1,1,0,0
631523916,13.079,13.1772,37.6836,37.18789,493.02435,0.26567736,1.1335995,4,1,1,0,0
632028724,12.874,13.107721,38.2664,37.73956,498.3699,0.25040036,1.136759,4,1,1,0,0
632533520,12.7756,13.0578375,38.3904,38.140957,503.7543,0.23871969,1.1391867,4,1,1,0,0
633026808,13.0216,13.012532,38.1176,38.353607,509.03418,0.22611979,1.1418171,4,1,1,0,0
633531125,13.1446,12.9775505,38.564,38.436707,514.4282,0.21592484,1.1439544,4,1,1,0,0
634035995,12.9724,12.945614,38.378,38.426025,519.8154,0.20577818,1.1460893,4,1,1,0,0
634528788,12.833,12.922823,38.192,38.349518,525.0579,0.19838671,1.1476498,4,1,1,0,0
635033588,12.71,12.9085865,38.216797,38.29695,530.4219,0.19383891,1.1486119,4,1,1,0,0
635537649,12.8576,12.903228,37.857197,38.25126,535.7736,0.19238609,1.1489196,4,1,1,0,0
636031127,12.8986,12.8885565,38.216797,38.247406,541.01544,0.18543349,1.1503944,4,1,1,0,0
636536124,13.0708,12.883928,34.3728,37.38815,546.2056,0.17554374,1.1524988,4,1,1,0,0
637040115,13.2758,12.963262,30.6404,33.962505,550.62195,0.18911235,1.1496135,4,1,1,0,0
637532790,13.4316,13.070596,25.9656,30.596716,554.48706,0.2104236,1.145111,4,1,1,0,0
638037648,13.407001,13.189347,23.5724,27.505186,558.04175,0.2347572,1.1400126,4,1,1,0,0
638542403,13.8908,13.324867,20.1748,24.465965,561.1896,0.26461795,1.1338181,4,1,1,0,0
639035331,14.0548,13.448815,18.724,21.63816,563.8798,0.28937253,1.1287335,4,1,1,0,0
