timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
574574877,-0.020517316,-0.010318672,0.017220516,4000,0,0.09766203,-0.30479684,-9.823676,4000,-2833,-0.17383327,-0.20756519,0.32397947,-13881,-52.80795,42.399998
574578877,0.00208422,-0.0042789113,-0.015704267,4000,0,-0.710604,-0.107113965,-9.931922,4000,-6833,-0.17383327,-0.20756519,0.32397947,-17881,-52.80795,42.399998
574582877,-0.026498966,0.020837396,-0.015311145,4000,0,-0.040544912,0.50470454,-9.905623,4000,-10833,-0.17383327,-0.20756519,0.32397947,-21881,-52.80795,42.399998
574586877,-0.021474913,0.022151543,-0.024536906,4000,0,0.81840783,0.5562026,-9.606395,4000,-14833,-0.17383327,-0.20756519,0.32397947,-3552,-53.055637,42.399998
574590877,0.02357776,-0.00053802814,-0.037112407,4000,0,0.565554,0.10695916,-9.913464,4000,-18833,-0.17383327,-0.20756519,0.32397947,-7552,-53.055637,42.399998
574594877,-0.007656154,0.012890733,-0.01761828,4000,0,-0.45467985,-0.1342148,-9.894599,4000,-22833,-0.17383327,-0.20756519,0.32397947,-872,-52.47684,42.399998
574598877,0.016393075,0.014038758,-0.020740995,4000,0,-0.9305108,-0.28237695,-9.955337,4000,-4714,-0.1528698,-0.19880173,0.33161238,-4872,-52.47684,42.399998
574602877,-0.056118,0.031605914,-0.0027716244,4000,0,0.33997092,0.53108525,-9.876495,4000,-8714,-0.1528698,-0.19880173,0.33161238,-8872,-52.47684,42.399998
574606877,-0.027093772,-0.0050292904,0.0057888185,4000,0,1.1950036,0.97011137,-9.500117,4000,-12714,-0.1528698,-0.19880173,0.33161238,-1883,-52.80795,42.399998
574610877,0.0055342573,-0.0056330934,0.024173817,4000,0,0.202645,0.35863596,-9.902922,4000,-16714,-0.1528698,-0.19880173,0.33161238,-5883,-52.80795,42.399998
574614877,0.04873344,-0.009617108,0.027315289,4000,0,-0.82829076,-0.8262896,-9.820765,4000,-20714,-0.1528698,-0.19880173,0.33161238,-9883,-52.80795,42.399998
574618877,-0.027679896,0.013712554,0.032471005,4000,0,-0.36582795,-0.28588906,-10.374827,4000,-2855,-0.14588198,-0.18252675,0.32288906,-13883,-52.80795,42.399998
574622877,-0.09031843,0.0139521295,0.0241346,4000,0,0.8635998,1.0359118,-9.362272,4000,-6855,-0.14588198,-0.18252675,0.32288906,-17883,-52.80795,42.399998
574626878,0.014796437,0.002315341,0.012324062,4001,0,0.5296592,0.52429694,-9.905458,4001,-10856,-0.14588198,-0.18252675,0.32288906,-885,-52.80795,42.399998
574630877,0.03292213,0.007681248,0.009871298,3999,0,-0.7500595,-0.4202287,-9.767985,3999,-14855,-0.14588198,-0.18252675,0.32288906,-4884,-52.80795,42.399998
574634877,-0.0075292387,0.014525634,0.014444447,4000,0,0.16297601,-0.5686915,-10.284578,4000,-18855,-0.14588198,-0.18252675,0.32288906,-8884,-52.80795,42.399998
574638877,-0.040088538,0.013786087,-0.027483625,4000,0,0.4580525,0.51410794,-9.457585,4000,-22855,-0.14588198,-0.18252675,0.32288906,-1472,-52.890724,42.399998
574642877,-0.022413166,0.0031975664,-0.031004902,4000,0,0.2915067,0.64679116,-9.834726,4000,-2837,-0.14588198,-0.19379404,0.32179862,-5472,-52.890724,42.399998
574646877,0.065485775,0.018597132,-0.028615864,4000,0,-0.29970974,-0.3720222,-9.842443,4000,-6837,-0.14588198,-0.19379404,0.32179862,-9472,-52.890724,42.399998
574650877,-0.03804393,-0.010502339,-0.009451567,4000,0,0.6713184,-0.29137298,-10.480229,4000,-10837,-0.14588198,-0.19379404,0.32179862,-2884,-52.80795,42.399998
574654877,-0.03952083,0.004528152,-0.048272464,4000,0,0.41659847,0.4094387,-9.293218,4000,-14837,-0.14588198,-0.19379404,0.32179862,-6884,-52.80795,42.399998
574658878,-0.0054394156,-0.023413738,-0.051483076,4001,0,-0.5277641,0.5446232,-9.979193,4001,-18838,-0.14588198,-0.19379404,0.32179862,-10885,-52.80795,42.399998
574662877,0.014567621,0.040670175,-0.010959126,3999,0,-0.4747902,0.3266276,-9.7217865,3999,-1828,-0.12631609,-0.19003826,0.33706447,-14884,-52.80795,42.399998
574666881,-0.0013337046,-0.0072731976,-0.00100114,4004,0,1.1250564,-0.27046177,-10.381553,4004,-5832,-0.12631609,-0.19003826,0.33706447,-18888,-52.80795,42.399998
574670878,-0.025204334,0.013723277,-0.01648363,3997,0,0.38041043,0.24865803,-9.703703,3997,-9829,-0.12631609,-0.19003826,0.33706447,-740,-52.890724,42.399998
574674877,-0.0038092022,-0.008870254,-0.021241395,3999,0,-0.8090919,0.3434764,-9.660499,3999,-13828,-0.12631609,-0.19003826,0.33706447,-4739,-52.890724,42.399998
574678877,0.015956197,0.034978643,0.027169025,4000,0,-0.1961911,0.124671884,-9.884191,4000,-17828,-0.12631609,-0.19003826,0.33706447,-8739,-52.890724,42.399998
574682877,-0.03707022,-0.0017943495,0.037422724,4000,0,0.9048205,0.4225691,-9.85516,4000,-21828,-0.12631609,-0.19003826,0.33706447,-1836,-52.393433,42.399998
574686886,0.008088315,-0.0025178867,0.019834068,4009,0,0.1633309,0.0746681,-9.831904,4009,-3503,-0.11932827,-0.18127483,0.3185274,-5845,-52.393433,42.399998
