timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
194509443,194509343,-0.018921964,0.005354508,1.5061711,0.0,0.0,0.0,0.0,0.0
194613449,194613350,-0.048979025,0.004934869,1.5112957,0.0,0.0,0.0,0.0,0.0
194713442,194713343,-0.05438934,0.0038044453,0.97833157,0.0,0.0,0.0,0.0,0.0
194817512,194817343,0.025462443,-0.004405311,0.09815144,0.0,0.0,0.0,0.0,0.0
194917557,194917359,0.051237077,-0.0027660176,0.015253206,0.0,0.0,0.0,0.0,0.0
195021479,195021346,-0.04349212,0.002738309,-0.0009805823,0.0,0.0,0.0,0.0,0.0
195121472,195121347,-0.024757845,0.0010240168,-0.0013014391,0.0,0.0,0.0,0.0,0.0
195221456,195221343,0.009813032,-6.6494686e-06,0.0029567075,0.0,0.0,0.0,0.0,0.0
195325442,195325343,-0.0074591073,0.0014263564,0.00010848546,0.0,0.0,0.0,0.0,0.0
195426258,195426143,-0.02435742,0.0027345945,-0.0020314383,0.0,0.0,0.0,0.0,0.0
195526247,195526144,-0.013719501,-0.00028602697,0.0014179858,0.0,0.0,0.0,0.0,0.0
195630244,195630143,0.010772731,0.00029995755,0.0011520993,0.0,0.0,0.0,0.0,0.0
195730242,195730143,-0.014320761,0.0025083267,-0.0015136241,0.0,0.0,0.0,0.0,0.0
195830251,195830143,-0.021925095,0.0036043676,0.0009508134,0.0,0.0,0.0,0.0,0.0
195934246,195934143,0.023193058,-0.0010403247,0.0017656712,0.0,0.0,0.0,0.0,0.0
196034242,196034143,0.014556298,0.002062776,-0.0011963287,0.0,0.0,0.0,0.0,0.0
196138252,196138143,-0.022471197,0.0013627046,0.0007238219,0.0,0.0,0.0,0.0,0.0
196238246,196238143,0.00075445743,-0.0017074686,0.0019362677,0.0,0.0,0.0,0.0,0.0
196339056,196338943,0.03180405,-0.0045478507,9.6197546e-05,0.0,0.0,0.0,0.0,0.0
196439051,196438943,0.040748216,-0.0049260166,-0.00047582836,0.0,0.0,0.0,0.0,0.0
196543055,196542943,-0.04395982,0.0074117854,0.0014286702,0.0,0.0,0.0,0.0,0.0
196643053,196642943,-0.019052241,0.0030688785,0.001008682,0.0,0.0,0.0,0.0,0.0
196747060,196746943,0.022725515,-0.0032464082,-0.00074714766,0.0,0.0,0.0,0.0,0.0
196847050,196846943,-0.009162801,0.0011914845,0.001335061,0.0,0.0,0.0,0.0,0.0
196947054,196946943,-0.024016228,0.005276285,0.0009914329,0.0,0.0,0.0,0.0,0.0
197051054,197050943,0.013827871,-0.0010324658,-0.0008157245,0.0,0.0,0.0,0.0,0.0
197151050,197150943,0.007368258,-0.0015208255,0.0006133315,0.0,0.0,0.0,0.0,0.0
197251848,197251743,-0.00034750023,-0.002542046,0.0010364512,0.0,0.0,0.0,0.0,0.0
197355841,197355743,-0.0011498223,0.0015031993,0.00025522147,0.0,0.0,0.0,0.0,0.0
197455844,197455743,0.00062886096,-0.000116148265,0.00020426519,0.0,0.0,0.0,0.0,0.0
197555848,197555743,0.005075264,0.00014462328,0.0008734337,0.0,0.0,0.0,0.0,0.0
197659939,197659744,-0.0054220995,0.0022968142,8.864729e-05,0.0,0.0,0.0,0.0,0.0
197759842,197759743,-0.005472309,0.0045395424,0.0006592642,0.0,0.0,0.0,0.0,0.0
197859842,197859743,-0.002824812,0.002804177,0.0018509474,0.0,0.0,0.0,0.0,0.0
197963889,197963790,0.00943092,-0.0009790938,-0.00054417434,0.0,0.0,0.0,0.0,0.0
198063842,198063743,0.004448386,-0.0001867495,-0.00044888607,0.0,0.0,0.0,0.0,0.0
198164653,198164543,-0.0014354952,0.002011358,0.00087625545,0.0,0.0,0.0,0.0,0.0
198268646,198268554,-0.015133879,0.0002494484,0.0005575929,0.0,0.0,0.0,0.0,0.0
