timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
222055276,15.3176,15.456328,16.4548,15.521319,63.73571,0.9382518,1.0100094,4,1,1,0,0
222547991,15.284801,15.437359,15.438,15.694794,65.90075,0.93563265,1.0104383,4,1,1,0,0
223052796,15.7522,15.415034,16.74,15.936575,68.15797,0.93020517,1.0113286,4,1,1,0,0
223556782,15.416,15.367369,15.1032,15.93474,70.3893,0.913943,1.0140051,4,1,1,0,0
224061660,15.8916,15.325647,15.376,16.013765,72.642944,0.899184,1.0164465,4,1,1,0,0
224553595,15.4324,15.303417,16.9508,15.905977,74.8021,0.89147604,1.0177262,4,1,1,0,0
225058512,14.9978,15.275796,15.611599,15.681499,76.97869,0.8814756,1.0193913,4,1,1,0,0
225562383,15.4734,15.274983,16.2688,15.703392,79.177055,0.8816353,1.0193646,4,1,1,0,0
226067875,14.7764,15.239452,16.4052,16.19066,81.49479,0.8709931,1.0211426,4,1,1,0,0
226559191,15.047,15.222471,18.91,17.345715,83.96927,0.8692368,1.0214366,4,1,1,0,0
227064068,14.9896,15.177706,19.7532,18.732359,86.722694,0.85904866,1.0231454,4,1,1,0,0
227569257,15.3094,15.137861,22.369598,20.446077,89.75399,0.8521017,1.0243139,4,1,1,0,0
228060796,15.129,15.068992,22.4688,21.834856,92.87607,0.8331535,1.0275146,4,1,1,0,0
228565662,14.9978,15.009242,22.803598,22.932009,96.204796,0.8160862,1.0304148,4,1,1,0,0
229070001,14.9568,14.955388,22.7168,24.12833,99.703835,0.7994941,1.03325,4,1,1,0,0
229562400,14.7354,14.89964,22.1216,24.079098,103.0096,0.7805695,1.0365027,4,1,1,0,0
230066386,14.5058,14.877343,24.924,23.884304,106.331436,0.7734719,1.0377281,4,1,1,0,0
230571275,14.7026005,14.862907,23.733599,23.671572,109.63083,0.7690807,1.0384876,4,1,1,0,0
231063278,14.8748,14.85404,25.4572,24.23362,112.97908,0.769637,1.0383912,4,1,1,0,0
231567989,14.9486,14.786184,27.8008,25.3111,116.63218,0.74876827,1.0420153,4,1,1,0,0
232072790,14.514,14.728667,26.7468,26.369856,120.43473,0.73161405,1.0450132,4,1,1,0,0
232576790,14.6616,14.677656,27.4288,26.812529,124.23596,0.71581745,1.0477892,4,1,1,0,0
233069584,14.6698,14.634664,27.6892,27.52999,128.05795,0.70390445,1.0498925,4,1,1,0,0
233573640,14.4894,14.606028,27.8132,28.174622,132.06488,0.69950825,1.0506707,4,1,1,0,0
234078459,14.3828,14.559145,28.0612,28.988075,136.22604,0.6887529,1.0525798,4,1,1,0,0
234582460,14.1204,14.496899,30.4172,29.731297,140.45747,0.671455,1.0556647,4,1,1,0,0
235075191,14.4156,14.462029,29.4376,29.99557,144.59018,0.66476476,1.0568626,4,1,1,0,0
235580087,14.268,14.403265,29.9956,30.406504,148.90369,0.64955336,1.0595965,4,1,1,0,0
236084609,14.1532,14.362705,31.210798,31.246881,153.34929,0.6448432,1.0604459,4,1,1,0,0
236576813,14.2024,14.306892,33.827198,31.851645,157.77066,0.63495433,1.0622337,4,1,1,0,0
237080784,14.0302,14.265129,35.0424,32.426613,162.37833,0.6326858,1.0626447,4,1,1,0,0
237585658,13.8334,14.2171955,34.744797,33.234955,167.10959,0.62981796,1.0631647,4,1,1,0,0
238077720,14.2106,14.19566,34.8936,33.40192,171.68791,0.6366016,1.0619354,4,1,1,0,0
238582398,14.1778,14.1526375,34.1868,33.352325,176.37718,0.63686496,1.0618877,4,1,1,0,0
239086389,14.1942005,14.12265,31.8556,33.428123,181.07274,0.638149,1.0616555,4,1,1,0,0
239579200,14.186,14.090523,30.8884,33.368187,185.63127,0.63403445,1.0624003,4,1,1,0,0
240083265,13.5054,14.072533,33.1204,33.5482,190.34947,0.6326802,1.0626457,4,1,1,0,0
240587982,14.0876,14.03621,35.129196,33.51801,195.05432,0.6223589,1.0645195,4,1,1,0,0
241081665,14.1286,14.0103035,38.1796,33.491333,199.63846,0.613907,1.066059,4,1,1,0,0
241585665,14.022,14.006721,35.6996,33.298107,204.27359,0.60762084,1.0672067,4,1,1,0,0
242090477,13.8744,13.990259,30.4048,33.25502,208.94366,0.5881213,1.070783,4,1,1,0,0
242582383,14.3418,14.003184,30.4296,32.326435,213.2842,0.572413,1.0736815,4,1,1,0,0
243087990,13.940001,14.044557,28.334,30.270638,217.3605,0.5606833,1.0758561,4,1,1,0,0
243592853,14.2106,14.153151,20.9684,26.651922,220.76907,0.5723951,1.0736848,4,1,1,0,0
244085099,14.5058,14.281931,18.1412,22.755863,223.5076,0.595069,1.069506,4,1,1,0,0
244590342,15.0224,14.440141,15.6612,18.993883,225.80725,0.62848926,1.0634058,4,1,1,0,0
245094456,14.842,14.605395,12.0652,15.719387,227.67953,0.6640416,1.0569923,4,1,1,0,0
245586402,15.0142,14.745678,10.6268,13.131349,229.20769,0.69206315,1.0519915,4,1,1,0,0
246091330,15.293,14.860629,9.3496,10.886499,230.50946,0.7103321,1.0487566,4,1,1,0,0
246595197,15.334,15.000337,6.1132,8.696742,231.5246,0.73468035,1.044476,4,1,1,0,0
247088066,15.4078,15.133895,3.286,6.0054336,232.08911,0.7437802,1.0428852,4,1,1,0,0
247592564,15.5144005,15.239355,3.224,4.384436,232.53226,0.7458214,1.0425291,4,1,1,0,0
248096854,15.3832,15.323918,3.4348,3.7106633,232.98009,0.75308967,1.0412627,4,1,1,0,0
248588795,15.6374,15.391199,3.224,3.4218094,233.4169,0.76272553,1.0395887,4,1,1,0,0
249093639,15.6456,15.471164,0.39679998,1.9730206,233.57254,0.7703689,1.0382646,4,1,1,0,0
249598390,15.6374,15.535957,0.248,1.0272402,233.61781,0.77783287,1.0369749,4,1,1,0,0
