timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
201003021,0,0,0,-17000,0,66.340004,3.1415925,4294967.5,3750003.5,99.99,99.99,102,13,0.0,0.0,0.0,0.0,0.0,0,0,0,0
201203060,0,0,0,-17000,0,66.37,3.1415925,4294967.5,3750003.5,99.99,99.99,102,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
201404272,0,0,0,-17000,0,66.4,3.1415925,4294967.5,3750003.5,99.99,99.99,102,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
201603020,0,0,0,-17000,0,66.43,3.1415925,4294967.5,3750003.5,99.99,99.99,102,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
201804092,0,0,0,-17000,0,66.461006,3.1415925,4294967.5,3750003.5,99.99,99.99,102,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
202005115,0,0,0,-17000,0,66.491005,3.1415925,4294967.5,3750003.5,99.99,99.99,102,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
202204066,0,0,0,-17000,0,66.521,3.1415925,4294967.5,3750003.5,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
202404096,0,0,0,-17000,0,66.551,3.1415925,4294967.5,3750003.5,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
202603063,0,0,0,-17000,0,66.581,3.1415925,4294967.5,3750003.5,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
202802081,0,0,0,-17000,0,66.611,3.1415925,4294967.5,3750003.5,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
203004021,0,0,0,-17000,0,66.64101,3.1415925,4294967.5,3750003.5,99.99,99.99,101,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
