timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
194629343,-0.20815764,0.008961436,0.031436898,4000,0,1.1981164,1.0763968,-9.633032,4000,-9338,-0.14448442,-0.17000753,0.34360698,-348,-40.29445,34.7
194633343,0.019184867,-0.011216824,0.01369496,4000,0,-0.54533195,0.21351707,-8.938108,4000,-13338,-0.14448442,-0.17000753,0.34360698,-4348,-40.29445,34.7
194637343,0.2080926,-0.006587128,0.010548727,4000,0,-0.44591224,-1.1776562,-10.664771,4000,-17338,-0.14448442,-0.17000753,0.34360698,-8348,-40.29445,34.7
194641343,-0.18613273,0.011528186,0.03563279,4000,0,1.2287369,0.73106647,-10.005742,4000,-21338,-0.14448442,-0.17000753,0.34360698,-1349,-40.460197,34.7
194645343,-0.072356865,-0.010581656,0.020590818,4000,0,-0.29702646,0.7255526,-8.700789,4000,-2274,-0.13609904,-0.18628252,0.33706447,-5349,-40.460197,34.7
194649343,0.24268007,-0.01335316,0.0060839867,4000,0,-0.69112533,-1.1903751,-10.442329,4000,-6274,-0.13609904,-0.18628252,0.33706447,-9349,-40.460197,34.7
194653343,-0.1036444,0.007084753,0.02035327,4000,0,1.3316408,0.27148804,-10.490595,4000,-10274,-0.13609904,-0.18628252,0.33706447,-2349,-40.460197,34.7
194657343,-0.1505298,-0.0028642036,0.0028307466,4000,0,0.08594614,1.0237805,-8.695172,4000,-14274,-0.13609904,-0.18628252,0.33706447,-6349,-40.460197,34.7
194661343,0.24202088,-0.020143175,-0.021392453,4000,0,-0.8974357,-1.026916,-10.100569,4000,-18274,-0.13609904,-0.18628252,0.33706447,-10349,-40.460197,34.7
194665343,-0.028842365,0.01040263,-0.0014292077,4000,0,1.1989605,-0.11149581,-10.7156925,4000,-1269,-0.12631609,-0.18878634,0.34360698,-14349,-40.460197,34.7
194669343,-0.20129015,0.004546112,-0.010551654,4000,0,0.42456838,1.0509628,-8.763296,4000,-5269,-0.12631609,-0.18878634,0.34360698,-18349,-40.460197,34.7
194673343,0.20669833,-0.021900292,-0.04203273,4000,0,-1.0632954,-0.8475355,-9.751295,4000,-9269,-0.12631609,-0.18878634,0.34360698,-299,-40.29445,34.7
194677343,0.02523464,0.010481792,-0.019907102,4000,0,1.0567,-0.1696435,-10.792804,4000,-13269,-0.12631609,-0.18878634,0.34360698,-4299,-40.29445,34.7
194681343,-0.22764239,0.0037686415,-0.013452545,4000,0,0.72464246,1.2198852,-8.897719,4000,-17269,-0.12631609,-0.18878634,0.34360698,-8299,-40.29445,34.7
194685343,0.17374147,-0.03011363,-0.03780105,4000,0,-1.1365237,-0.6403392,-9.490616,4000,-21269,-0.12631609,-0.18878634,0.34360698,-1348,-40.791687,34.7
194689343,0.11870856,0.0057866597,-0.01919902,4000,0,0.60353,-0.7021724,-10.9465885,4000,-3350,-0.11932827,-0.18878634,0.34142613,-5348,-40.791687,34.7
194693343,-0.2604642,0.004262973,0.002858454,4000,0,0.9151405,1.1884263,-9.061987,4000,-7350,-0.11932827,-0.18878634,0.34142613,-9348,-40.791687,34.7
194697343,0.10351247,-0.02612324,-0.016621327,4000,0,-1.0400422,-0.37297744,-9.121466,4000,-11350,-0.11932827,-0.18878634,0.34142613,-3304,-40.958057,34.7
194701343,0.15821283,0.005516004,-0.0014261449,4000,0,0.3426741,-0.88456094,-10.884526,4000,-15350,-0.11932827,-0.18878634,0.34142613,-7304,-40.958057,34.7
194705343,-0.2623367,0.004430528,0.026484486,4000,0,1.0779855,1.2752795,-9.447071,4000,-19350,-0.11932827,-0.18878634,0.34142613,-11304,-40.958057,34.7
194709343,0.0494107,-0.017012512,0.004225017,4000,0,-0.96894383,-0.0034547898,-8.855556,4000,-1337,-0.123520955,-0.17125945,0.34905905,-15304,-40.958057,34.7
194713343,0.22331381,-0.0010364958,0.009504392,4000,0,-0.053399112,-1.095338,-11.003458,4000,-5337,-0.123520955,-0.17125945,0.34905905,-19304,-40.958057,34.7
