timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
203232268,203232268,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
203436327,203436327,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
203632336,203632336,7,255,0,0,0,1498,1505,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
203832348,203832348,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
204040346,204040346,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
204245141,204245141,7,255,0,0,0,1556,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
204449052,204449052,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
204657152,204657152,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
204849384,204849384,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
205053927,205053927,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
205253846,205253846,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
205462176,205462176,7,255,0,0,0,1820,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
205661921,205661921,7,255,0,0,0,1920,1505,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
205865939,205865939,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
206070646,206070646,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
206274728,206274728,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
206466741,206466741,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
206678969,206678969,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
206871528,206871528,7,255,0,0,0,1920,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
207091446,207091446,7,255,0,0,0,1880,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
207295523,207295523,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
207475569,207475569,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
207699503,207699503,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
207892335,207892335,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
208092582,208092582,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
208308568,208308568,7,255,0,0,0,1499,1504,1129,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
208504314,208504314,7,255,0,0,0,1499,1504,1158,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
208713134,208713134,7,255,0,0,0,1499,1504,1163,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
208917050,208917050,7,255,0,0,0,1499,1504,1166,1496,1920,1499,898,29349,2051,6,0,16595,2961,0,0,14165,48,0,0,0,3
