timestamp,timestamp_received,id,q[0],q[1],q[2],q[3],x,y,z
209566295,209566295,240,-0.70695305,-0.0017427409,-0.0013359146,-0.70725715,-0.29791495,-3.4899628,-0.99960375
209574183,209574183,240,-0.7071384,-5.3029038e-05,-0.00015740853,-0.7070751,-0.29795384,-3.4899442,-0.9995
209868204,209868204,240,-0.7086314,0.0015282958,-0.0007332621,-0.70557684,-0.2981463,-3.489939,-0.99941236
209875021,209875022,240,-0.70913917,0.0022452476,0.00017129566,-0.70506495,-0.2981511,-3.490001,-0.9994177
210176164,210176164,240,-0.7073433,9.056193e-05,-0.00015785695,-0.7068702,-0.2979161,-3.4899695,-0.9995082
210188035,210188035,240,-0.7078314,-0.0038760826,-0.0026538144,-0.7063658,-0.2978232,-3.489969,-0.999664
210484093,210484094,240,-0.7075503,-0.0028921831,-0.0023715855,-0.7066532,-0.2978509,-3.489959,-0.9996375
210493182,210493182,240,-0.70720595,-6.6091834e-06,0.00033631828,-0.70700765,-0.29796,-3.4899251,-0.9994792
210791654,210791654,240,-0.7073949,-0.0024657086,-0.0018827843,-0.7068118,-0.29787982,-3.4899302,-0.99961
210796340,210796340,240,-0.7072389,-1.6836912e-05,-6.057851e-05,-0.7069746,-0.2979389,-3.4899635,-0.9995008
211099703,211099704,240,-0.7071468,-0.0002799573,0.00021006246,-0.7070668,-0.29793283,-3.489943,-0.9995155
211104830,211104831,240,-0.70719576,-0.0002634742,0.000110320885,-0.7070178,-0.29795823,-3.4899478,-0.9994945
211408233,211408233,240,-0.7072015,-0.00015397728,0.00025745734,-0.70701206,-0.2979776,-3.4899294,-0.9995022
211412073,211412073,240,-0.70868903,0.0016252876,-0.0006825392,-0.7055188,-0.29812476,-3.489909,-0.99941295
211711262,211711263,240,-0.7073423,-0.00014856311,-0.0005461136,-0.706871,-0.29802123,-3.4899304,-0.99951047
211719014,211719015,240,-0.70750266,0.00033630477,-9.885637e-05,-0.7067107,-0.297995,-3.4899268,-0.9994795
212020188,212020188,240,-0.7069518,-0.0009089699,-0.00010473093,-0.70726115,-0.29794556,-3.489959,-0.9995218
212025632,212025632,240,-0.70733356,0.00013880714,0.0001719451,-0.7068799,-0.29797235,-3.489925,-0.99947196
212328853,212328853,240,-0.70764685,-0.0033795428,-0.002731311,-0.706553,-0.29786474,-3.4899895,-0.99964243
212331252,212331253,240,-0.7073406,-7.458012e-05,4.547955e-05,-0.70687294,-0.29794884,-3.4899335,-0.99948835
212635778,212635778,240,-0.7072662,-0.0021223493,-0.0017241591,-0.7069421,-0.2979258,-3.4899223,-0.999602
212640362,212640362,240,-0.7073629,-0.0005008434,-0.00088028517,-0.70685,-0.29788604,-3.4899971,-0.9995261
212940351,212940351,240,-0.70730984,-0.00036504096,0.000111565816,-0.7069036,-0.2979665,-3.48992,-0.99949086
212946855,212946856,240,-0.7072266,-0.0003895722,5.5750865e-05,-0.706987,-0.29801816,-3.4899352,-0.99941456
213248210,213248210,240,-0.70774764,0.0007047338,0.0010020254,-0.70646435,-0.29794848,-3.490012,-0.9994421
213252220,213252220,240,-0.707136,-0.0001088549,4.4447897e-06,-0.70707756,-0.29795793,-3.4899402,-0.99950165
213556842,213556843,240,-0.70709836,9.1452284e-07,0.00021967229,-0.7071152,-0.29792312,-3.4899287,-0.99949414
213560100,213560100,240,-0.7073758,0.00039772436,0.000818911,-0.70683706,-0.29797852,-3.4899647,-0.99946976
213864635,213864635,240,-0.7071141,-0.00049361563,8.037817e-05,-0.7070993,-0.29794642,-3.4899187,-0.99950546
213869264,213869264,240,-0.7072071,0.00016800847,0.00010016401,-0.7070065,-0.2979472,-3.4899392,-0.9994667
214172445,214172445,240,-0.7088052,-0.00094738335,-0.0030912927,-0.7053969,-0.29807943,-3.4899013,-0.99945956
214174585,214174586,240,-0.70728564,-5.910163e-05,0.000183777,-0.7069279,-0.29796356,-3.489934,-0.99948955
214477823,214477824,240,-0.7074913,-0.0027200829,-0.001333304,-0.70671576,-0.29795516,-3.4900122,-0.99960095
214480821,214480822,240,-0.7072845,-0.000118715594,-9.021946e-06,-0.706929,-0.29795235,-3.4899323,-0.9994924
214785303,214785304,240,-0.7071823,-0.00023128343,8.684618e-06,-0.70703125,-0.29794008,-3.4899573,-0.99949867
214789297,214789297,240,-0.70863575,0.0013572031,-0.0007162819,-0.70557296,-0.2981128,-3.48994,-0.9994073
215093812,215093812,240,-0.7074642,-0.0046881423,-0.0035198925,-0.7067249,-0.2978923,-3.4899194,-0.9995917
215099420,215099421,240,-0.70734894,-0.0016482491,-0.0012979289,-0.70686144,-0.2978977,-3.489962,-0.9995592
215398253,215398253,240,-0.7075349,-0.003160213,-0.0021646777,-0.70666814,-0.29789385,-3.4899423,-0.9996187
215406021,215406022,240,-0.70718604,-0.0012178242,-0.00041092816,-0.7070263,-0.29796603,-3.4899108,-0.99945647
215705735,215705735,240,-0.70721996,5.0751205e-05,0.00018249534,-0.70699364,-0.2979053,-3.4899437,-0.9994923
215713078,215713078,240,-0.707296,-5.7750953e-05,0.00019576681,-0.7069175,-0.2979444,-3.4899328,-0.9995093
216013691,216013691,240,-0.7072628,-6.8901776e-05,0.00022259359,-0.7069507,-0.2979774,-3.4899502,-0.99950564
216020025,216020026,240,-0.7074062,-0.0010564413,-0.001023098,-0.70680565,-0.29793432,-3.4898744,-0.9995919
216322254,216322255,240,-0.7088169,0.0015959867,-0.0007489537,-0.7053904,-0.29809356,-3.4899268,-0.9994132
216326037,216326037,240,-0.707639,-0.0029099889,-0.0022020987,-0.7065648,-0.29787424,-3.4899821,-0.99962884
216630267,216630267,240,-0.70718527,-0.0003558901,-0.00038860104,-0.7070281,-0.29795668,-3.4899337,-0.9995254
216632315,216632316,240,-0.7073571,-3.3191136e-05,-0.00011980806,-0.70685637,-0.29790553,-3.4899454,-0.9995061
216934261,216934262,240,-0.7086462,0.0010069325,-0.001262375,-0.7055621,-0.298053,-3.4899025,-0.9994568
216936109,216936109,240,-0.70797336,0.00043526935,0.00050895184,-0.7062389,-0.29793918,-3.4900029,-0.9994586
217242436,217242436,240,-0.7071941,-0.000726601,0.0004601414,-0.707019,-0.29793063,-3.4899263,-0.999482
217248744,217248744,240,-0.7070357,-0.00030948038,-0.00011243471,-0.7071779,-0.29797527,-3.4899385,-0.99952465
217549600,217549601,240,-0.7072356,-0.00033071695,0.00024175599,-0.70697796,-0.29791552,-3.4899344,-0.99950755
217555131,217555132,240,-0.7071181,-0.00044770096,7.45368e-05,-0.7070955,-0.29795536,-3.4899616,-0.99951535
217857408,217857408,240,-0.70710516,-0.0017799023,-0.0018054212,-0.70710397,-0.2978953,-3.4900331,-0.999604
217862532,217862532,240,-0.707673,0.0001936189,0.00054269604,-0.7065399,-0.29797882,-3.4899607,-0.99944764
218164961,218164962,240,-0.707329,-0.0002514344,0.00030961898,-0.7068845,-0.2979793,-3.4899492,-0.99949867
218173179,218173179,240,-0.7074557,9.574789e-06,0.00013100027,-0.70675766,-0.2979794,-3.4899318,-0.9994996
