timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
201246723,-0.30348077,-3.4925659,-1.3132664,-0.0005506291,0.039504066,-0.25301364,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.08754483,0.087544814,0.089007504,0.033962175,0.03396217,0.03472413,3.525011e-05,3.5250112e-05,3.527596e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
201456830,-0.30282867,-3.4790378,-1.3667146,-0.0009812954,0.074230425,-0.26639646,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.109787375,0.10978736,0.111684196,0.03614181,0.036141805,0.036957473,3.5460213e-05,3.5460216e-05,3.5486064e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
201656905,-0.30341896,-3.463483,-1.421791,-0.0009195395,0.07855979,-0.2792189,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1339363,0.13393629,0.13631319,0.03822027,0.038220268,0.0390871,3.56603e-05,3.5660305e-05,3.5686153e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
201857015,-0.3033903,-3.4476264,-1.4794993,-0.00071119214,0.08466218,-0.29629916,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.16115724,0.16115722,0.1640834,0.040301956,0.040301953,0.041219957,3.5860416e-05,3.586042e-05,3.5886267e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
202057346,-0.30369118,-3.4310203,-1.5404524,-0.0026175792,0.086123705,-0.31014034,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.19165033,0.19165032,0.19519985,0.04238881,0.042388804,0.043358047,3.606074e-05,3.6060745e-05,3.6086592e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
202267430,-0.3036136,-3.4137087,-1.60781,-9.82225e-05,0.08515178,-0.32736114,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.22729799,0.22729799,0.23158461,0.044580374,0.044580366,0.045603346,3.6270834e-05,3.6270838e-05,3.6296686e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
202467660,-0.30340296,-3.3967223,-1.674911,0.0005500355,0.07425546,-0.34268478,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.2649473,0.2649473,0.27002013,0.04667211,0.046672102,0.0477463,3.6471065e-05,3.647107e-05,3.6496916e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
202667721,-0.30302283,-3.37979,-1.7447116,0.0057390695,0.07749043,-0.35218787,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.30631852,0.30631852,0.3122627,0.048765007,0.048765,0.04989037,3.6671132e-05,3.6671136e-05,3.6696983e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
202877783,-0.30213484,-3.3609195,-1.8209803,0.0058907866,0.09373134,-0.371386,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.3539821,0.3539821,0.36093807,0.050965697,0.05096569,0.05214478,3.6881207e-05,3.688121e-05,3.690706e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
203077845,-0.30092573,-3.3429008,-1.8970984,0.005582317,0.08991053,-0.39117455,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.40357742,0.40357742,0.41159338,0.05306462,0.05306461,0.054294888,3.7081292e-05,3.7081296e-05,3.7107144e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
203278062,-0.29930958,-3.324552,-1.9767505,0.006497108,0.09320854,-0.40551975,-2.6263775e-05,-2.2868971e-05,-0.0040385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.457488,0.457488,0.4666631,0.055168156,0.055168148,0.056449655,3.7281523e-05,3.7281527e-05,3.7307374e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,255,0
