timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
574458987,574458877,0.002805472,-0.0034703384,1.3195525,0.0,0.0,0.0,0.0,-1.0
574562978,574562877,0.007148695,0.0006547335,1.3046534,0.0,0.0,0.0,0.0,-1.0
574666976,574666881,-0.005923655,-0.007628383,1.3253243,0.0,0.0,0.0,0.0,-1.0
574767020,574766918,0.004622351,-0.0020566522,1.3169562,0.0,0.0,0.0,0.0,-1.0
574866993,574866877,0.0076164017,-0.00020046171,1.285736,0.0,0.0,0.0,0.0,-1.0
574970991,574970877,0.03049123,0.001538862,1.2809451,0.0,0.0,0.0,0.0,-1.0
575070976,575070877,-0.016060656,-0.0039046928,0.84980434,0.0,0.0,0.0,0.0,-1.0
575170979,575170877,-0.0037774534,-6.811318e-05,0.0033151775,0.0,0.0,0.0,0.0,-1.0
575275780,575275677,0.00346094,0.002519222,-0.0011228432,0.0,0.0,0.0,0.0,-1.0
575375779,575375677,0.013707693,-0.0017558136,0.001643074,0.0,0.0,0.0,0.0,-1.0
575475784,575475677,-0.010455119,-0.001339912,-0.00014702174,0.0,0.0,0.0,0.0,-1.0
575579781,575579677,-0.010599548,-0.00085278193,-0.0018477794,0.0,0.0,0.0,0.0,-1.0
575679779,575679678,0.0038013626,0.0009958897,-0.00036042611,0.0,0.0,0.0,0.0,-1.0
575783809,575783677,0.0054129246,0.0025086896,-0.000521534,0.0,0.0,0.0,0.0,-1.0
575883779,575883677,0.006058335,-0.0046357224,-0.000536991,0.0,0.0,0.0,0.0,-1.0
575984580,575984477,-0.007924293,0.0010745156,-0.0010174642,0.0,0.0,0.0,0.0,-1.0
576088571,576088477,-0.009403978,0.0046678125,-0.0011147253,0.0,0.0,0.0,0.0,-1.0
576188570,576188477,0.009714945,-0.004272599,-0.00023771542,0.0,0.0,0.0,0.0,-1.0
576288569,576288477,3.9744133e-05,-0.0022778749,-0.0002956326,0.0,0.0,0.0,0.0,-1.0
576392604,576392477,-0.0027192493,-0.00024174995,-0.00043863335,0.0,0.0,0.0,0.0,-1.0
576492579,576492477,0.005484064,0.00233628,-0.00091895525,0.0,0.0,0.0,0.0,-1.0
576592578,576592477,-0.00090046215,-0.0039190357,-0.0002876206,0.0,0.0,0.0,0.0,-1.0
576693375,576693277,-0.0015163159,-3.7615828e-05,-0.0010603906,0.0,0.0,0.0,0.0,-1.0
576797384,576797277,0.0025515775,-0.00012748706,-0.0002880734,0.0,0.0,0.0,0.0,-1.0
576897376,576897277,0.007825084,-0.0023393799,-0.00047960706,0.0,0.0,0.0,0.0,-1.0
577001387,577001277,0.0015140721,-0.002293884,-0.0013317458,0.0,0.0,0.0,0.0,-1.0
577101376,577101277,-0.0018170755,-0.0021561142,-0.00030335464,0.0,0.0,0.0,0.0,-1.0
577201417,577201312,0.006892304,0.0014717695,-0.0009237411,0.0,0.0,0.0,0.0,-1.0
577305376,577305277,0.0029983749,0.0019183652,-0.0009832862,0.0,0.0,0.0,0.0,-1.0
577406976,577406877,-0.000784236,-0.0026960084,-0.0013632283,0.0,0.0,0.0,0.0,-1.0
577506987,577506877,0.0023550852,-0.0014571294,0.0003212325,0.0,0.0,0.0,0.0,-1.0
577606976,577606877,-0.00011587562,0.0027306804,-0.00077113835,0.0,0.0,0.0,0.0,-1.0
577710991,577710882,0.0037338543,0.0037950869,-0.0013859672,0.0,0.0,0.0,0.0,-1.0
577810976,577810877,-0.0020360616,-0.0054342593,-0.00053015206,0.0,0.0,0.0,0.0,-1.0
577914981,577914877,-0.002527481,-0.0054665403,0.0003447258,0.0,0.0,0.0,0.0,-1.0
578015779,578015677,-0.0012797498,0.0020105552,-0.00030428192,0.0,0.0,0.0,0.0,-1.0
578115775,578115677,0.01064138,-0.0022834134,-0.0017001284,0.0,0.0,0.0,0.0,-1.0
578219778,578219677,0.0066518798,-0.0031712588,-0.0008343491,0.0,0.0,0.0,0.0,-1.0
578319770,578319678,-0.0075034895,-0.00043026198,0.0005674592,0.0,0.0,0.0,0.0,-1.0
578419775,578419677,0.009707795,0.0008025258,-0.001131173,0.0,0.0,0.0,0.0,-1.0
578523776,578523677,0.006299766,0.0018878477,-0.0013807776,0.0,0.0,0.0,0.0,-1.0
578623781,578623677,-0.0031068826,-0.003577446,0.00012870414,0.0,0.0,0.0,0.0,-1.0
578724581,578724477,0.0026416648,-0.0009969119,0.0001070546,0.0,0.0,0.0,0.0,-1.0
578828578,578828477,0.0002676493,9.281031e-05,-7.761416e-05,0.0,0.0,0.0,0.0,-1.0
578928580,578928477,0.0017593473,0.0024364786,-0.00094152865,0.0,0.0,0.0,0.0,-1.0
579028578,579028477,0.0023629942,-0.005052372,-0.00051560666,0.0,0.0,0.0,0.0,-1.0
579132576,579132477,0.0006791322,-0.0065267743,-0.0004987693,0.0,0.0,0.0,0.0,-1.0
579232580,579232477,-0.003408485,0.0053142454,-0.000121912744,0.0,0.0,0.0,0.0,-1.0
579332578,579332477,0.010848315,-0.0017007587,-0.00067674386,0.0,0.0,0.0,0.0,-1.0
579437378,579437277,0.0057284404,-0.003395198,-0.0011506461,0.0,0.0,0.0,0.0,-1.0
579537380,579537277,-0.004857541,-0.0017010143,-0.0006495319,0.0,0.0,0.0,0.0,-1.0
579637417,579637313,0.0049691875,0.0027996784,-0.00036247267,0.0,0.0,0.0,0.0,-1.0
579741379,579741277,0.0047853678,0.0017680032,-0.00011091338,0.0,0.0,0.0,0.0,-1.0
579841376,579841277,0.0007744519,-0.0019365058,-0.0014624525,0.0,0.0,0.0,0.0,-1.0
579941377,579941277,0.0020804983,-0.0017450628,-0.0004082759,0.0,0.0,0.0,0.0,-1.0
580045413,580045277,-0.0005769953,-0.00092259975,0.00055332173,0.0,0.0,0.0,0.0,-1.0
