timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
201252384,201252284,-0.0005082643,0.011335819,1.5340909,0.0,0.0,0.0,0.0,0.0
201356397,201356284,-0.0004879773,-0.0021554434,1.543794,0.0,0.0,0.0,0.0,0.0
201457225,201457133,0.002106681,-0.0015519692,1.5436068,0.0,0.0,0.0,0.0,0.0
201557181,201557085,0.0015968415,-0.0034027772,1.5382402,0.0,0.0,0.0,0.0,0.0
201657227,201657132,0.00059999886,0.0035298897,1.5356258,0.0,0.0,0.0,0.0,0.0
201761184,201761085,-0.0012363305,-0.0027783727,1.541785,0.0,0.0,0.0,0.0,0.0
201861207,201861102,-0.0005245957,-0.00080436055,0.30352435,0.0,0.0,0.0,0.0,0.0
201965184,201965085,0.0005843363,-0.0061389026,0.011785618,0.0,0.0,0.0,0.0,0.0
202065247,202065144,0.0018359615,-0.0050033987,0.0003833946,0.0,0.0,0.0,0.0,0.0
202165991,202165884,0.0036651106,-0.0056116465,0.0010759773,0.0,0.0,0.0,0.0,0.0
202269994,202269884,0.0036942982,-0.006938304,-0.0020384912,0.0,0.0,0.0,0.0,0.0
202369990,202369884,0.0042850394,-0.0076431176,-0.0005999297,0.0,0.0,0.0,0.0,0.0
202469991,202469884,0.0056463685,-0.009531347,0.0009341859,0.0,0.0,0.0,0.0,0.0
202573987,202573884,-0.00030809292,0.0007138484,-0.0015269612,0.0,0.0,0.0,0.0,0.0
202673987,202673884,0.0018501335,-0.0032560579,-0.0013374947,0.0,0.0,0.0,0.0,0.0
202774785,202774684,0.0047753295,-0.0048545413,0.00012763885,0.0,0.0,0.0,0.0,0.0
202878790,202878684,-0.004101976,0.0058299163,-0.00039334176,0.0,0.0,0.0,0.0,0.0
202978785,202978684,-0.00211794,0.0017388437,-0.0011795027,0.0,0.0,0.0,0.0,0.0
203078785,203078684,4.3878215e-05,0.00019344359,-0.0008487073,0.0,0.0,0.0,0.0,0.0
203182785,203182684,-0.0028306907,0.0052523687,0.00036120816,0.0,0.0,0.0,0.0,0.0
203282787,203282684,-0.002374192,0.003514711,-0.00083335204,0.0,0.0,0.0,0.0,0.0
203383583,203383484,-0.0011962724,0.0015412256,-0.0014256967,0.0,0.0,0.0,0.0,0.0
203487583,203487484,0.00082933775,0.0029350955,0.0005454747,0.0,0.0,0.0,0.0,0.0
203587584,203587485,-0.001836621,0.0012863283,0.00039909314,0.0,0.0,0.0,0.0,0.0
203687591,203687484,-0.00245533,0.0005574719,-0.0012892769,0.0,0.0,0.0,0.0,0.0
203791583,203791484,-0.00054550194,0.00043453975,-0.0003583236,0.0,0.0,0.0,0.0,0.0
203891585,203891484,-0.0009482715,0.00092122424,0.00017872464,0.0,0.0,0.0,0.0,0.0
203991587,203991484,-0.001255772,0.0014447065,-0.0006027436,0.0,0.0,0.0,0.0,0.0
204096385,204096284,-0.00013226713,0.0016294188,-0.0005591237,0.0,0.0,0.0,0.0,0.0
204196386,204196284,0.00015389163,0.00027220097,0.00044748266,0.013765183,0.0,0.0,0.0,0.0
204296392,204296284,-0.0021142352,0.001366959,-0.00028190907,0.013199521,0.0,0.0,0.0,0.0
204400384,204400284,0.005280156,-0.0016648311,-0.0011547058,0.013220681,0.0,0.0,0.0,0.0
204500409,204500285,0.0057449555,-0.0029641425,-0.00039385274,0.013469438,0.0,0.0,0.0,0.0
204604391,204604284,-0.004651393,0.0028173975,-0.0002798738,0.013605733,0.0,0.0,0.0,0.0
204705235,204705132,-0.0055104303,0.0016764475,0.00024369641,0.022532966,0.0,0.0,0.0,0.0
204805236,204805133,-0.00054694957,-0.0026402082,0.00047078333,0.024014326,0.0,0.0,0.0,0.0
204905236,204905132,0.0058849165,-0.004454906,-0.0013257394,0.02403821,0.0,0.0,0.0,0.0
205009223,205009120,-0.0036314824,0.00460635,-5.7475787e-05,0.024038477,0.0,0.0,0.0,0.0
205109200,205109110,-0.002706157,-0.0006173024,0.00054340705,0.024038464,0.0,0.0,0.0,0.0
205213238,205213132,0.005522078,0.0025804522,-0.0015023948,0.024038462,0.0,0.0,0.0,0.0
205313227,205313133,-0.0026929989,0.0049121636,0.0002783724,0.024038462,0.0,0.0,0.0,0.0
205414084,205413885,-0.00024682528,-0.0018686918,0.00025302992,0.024038462,0.0,0.0,0.0,0.0
205517993,205517884,0.002982303,0.0017415674,-0.0011796599,0.024038462,0.0,0.0,0.0,0.0
205617989,205617884,0.00036087225,0.0013999608,0.00012596016,0.024038462,0.0,0.0,0.0,0.0
205717988,205717884,0.004020736,-0.0038329416,4.948272e-05,0.024038462,0.0,0.0,0.0,0.0
205821988,205821884,-0.0012296316,0.0039816233,-0.0011643657,0.024038462,0.0,0.0,0.0,0.0
205922785,205922684,0.001668306,0.00065886934,0.00040861405,0.024038462,0.0,0.0,0.0,0.0
206023586,206023484,0.0072488743,-0.0043011233,-0.00064222625,0.024038462,0.0,0.0,0.0,0.0
206123585,206123484,0.004666617,-0.0029057835,-0.0012173248,0.024038462,0.0,0.0,0.0,0.0
206227586,206227484,-0.001381936,0.0020974772,0.00019049749,0.024038462,0.0,0.0,0.0,0.0
206327583,206327484,0.0074457265,-0.002644647,-0.0005932282,0.024038462,0.0,0.0,0.0,0.0
206428398,206428284,0.0070426613,-0.00021618028,-0.001035993,0.024038462,0.0,0.0,0.0,0.0
206532385,206532284,-0.0040117116,7.680939e-05,-0.00011474746,0.024038462,0.0,0.0,0.0,0.0
206632386,206632284,0.0016199504,-0.00035374047,-0.00028383595,0.024038462,0.0,0.0,0.0,0.0
206732395,206732284,0.0067427205,0.0025643248,-0.000707118,0.024038462,0.0,0.0,0.0,0.0
206836386,206836284,0.00091737194,-0.0042064595,-0.00036144277,0.024038462,0.0,0.0,0.0,0.0
206936401,206936298,-0.00094158424,-0.0009830232,-0.00014677014,0.024038462,0.0,0.0,0.0,0.0
207037228,207037132,-0.0012644273,0.0006154246,-0.00020080936,0.024038462,0.0,0.0,0.0,0.0
207141227,207141132,0.0049786065,-0.0008199088,-0.00085066346,0.024038462,0.0,0.0,0.0,0.0
207241225,207241132,0.0016303378,-0.001660022,-0.0003478635,0.024038462,0.0,0.0,0.0,0.0
207341231,207341133,0.00065290765,-0.0028185342,-0.0003891085,0.024038462,0.0,0.0,0.0,0.0
207445208,207445108,0.0016863752,0.001379404,-0.00055166375,0.024038462,0.0,0.0,0.0,0.0
207545235,207545132,0.3073911,0.000826063,-0.0013845322,0.024038462,0.0,0.0,0.0,0.0
207649234,207649132,1.8755642,-0.0051044235,-0.0007413774,0.024038462,0.0,0.0,0.0,0.0
207749990,207749884,1.8800573,0.00030123466,0.0010091187,0.024038462,0.0,0.0,0.0,0.0
207849985,207849884,1.0154251,-0.0051660948,0.0015642388,0.024038462,0.0,0.0,0.0,0.0
207954000,207953884,0.006033684,-0.0034921416,-0.00050762447,0.024038462,0.0,0.0,0.0,0.0
208053988,208053884,-0.0042957077,-0.00059440103,-0.0005040489,0.024038462,0.0,0.0,0.0,0.0
208153992,208153884,0.010162849,-0.0032488306,-0.0010720597,0.024038462,0.0,0.0,0.0,0.0
208257987,208257884,-0.010801002,0.003429753,0.0004538417,0.024038462,0.0,0.0,0.0,0.0
