timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
201246723,0,0.0,0.0,-0.30353287,-3.493429,-1.3053594,0.0,0.0,0.0,0.0013452726,0.02880051,-0.24902861,-0.24902861,0.0,0.0,0.0,0.0,0.0,0.0,1.4926057,0.0,1.3053595,0.24902861,0.41843715,0.29834124,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201356852,0,0.0,0.0,-0.30324602,-3.4881895,-1.3327785,0.0,0.0,0.0,0.0053804303,0.06001196,-0.25065267,-0.25065267,0.0,0.0,0.0,0.0,0.0,0.0,1.4950987,0.0,1.3327785,0.25065267,0.44455975,0.3170146,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201456830,0,0.0,0.0,-0.30284494,-3.4813385,-1.3583853,0.0,0.0,0.0,0.00030696666,0.07254624,-0.26231426,-0.26231426,0.0,0.0,0.0,0.0,0.0,0.0,1.4950776,0.0,1.3583853,0.26231426,0.46858802,0.33419186,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201556861,0,0.0,0.0,-0.30302197,-3.4739451,-1.3852284,0.0,0.0,0.0,-0.0033790902,0.07622312,-0.27361023,-0.27361023,0.0,0.0,0.0,0.0,0.0,0.0,1.495612,0.0,1.3852285,0.27361023,0.4929264,0.35159162,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201656905,0,0.0,0.0,-0.3033588,-3.4660254,-1.412909,0.0,0.0,0.0,-0.0017571915,0.07969256,-0.27905625,-0.27905625,0.0,0.0,0.0,0.0,0.0,0.0,1.4966124,0.0,1.4129092,0.27905625,0.51756406,0.36920616,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201756981,0,0.0,0.0,-0.30340692,-3.4581203,-1.4411421,0.0,0.0,0.0,0.00037684,0.07959004,-0.28759843,-0.28759843,0.0,0.0,0.0,0.0,0.0,0.0,1.4974761,0.0,1.441142,0.28759843,0.54250455,0.3870378,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201857015,0,0.0,0.0,-0.30340478,-3.4501247,-1.4701728,0.0,0.0,0.0,0.0002958451,0.07932739,-0.2934524,-0.2934524,0.0,0.0,0.0,0.0,0.0,0.0,1.498007,0.0,1.4701728,0.2934524,0.56772745,0.4050721,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
201957297,0,0.0,0.0,-0.30345574,-3.4419127,-1.5000675,0.0,0.0,0.0,-0.0009829697,0.08256099,-0.29982787,-0.29982787,0.0,0.0,0.0,0.0,0.0,0.0,1.4988055,0.0,1.5000676,0.29982787,0.59330493,0.42336053,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
202057346,0,0.0,0.0,-0.30360603,-3.4336388,-1.5306368,0.0,0.0,0.0,-0.0026652508,0.08279207,-0.3086109,-0.3086109,0.0,0.0,0.0,0.0,0.0,0.0,1.4996682,0.0,1.5306368,0.3086109,0.6191128,0.44181427,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
202167389,0,0.0,0.0,-0.30374536,-3.4246116,-1.5652318,0.0,0.0,0.0,0.000922193,0.083284,-0.3176771,-0.3176771,0.0,0.0,0.0,0.0,0.0,0.0,1.5002089,0.0,1.5652318,0.3176771,0.6478304,0.4623492,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
202267430,0,0.0,0.0,-0.30362362,-3.4163952,-1.5974538,0.0,0.0,0.0,0.00025821992,0.08450409,-0.32562527,-0.32562527,0.0,0.0,0.0,0.0,0.0,0.0,1.5008801,0.0,1.5974538,0.32562527,0.6742373,0.48123237,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
202367601,0,0.0,0.0,-0.30349755,-3.4079485,-1.6304317,0.0,0.0,0.0,-0.0002189491,0.084829524,-0.3350813,-0.3350813,0.0,0.0,0.0,0.0,0.0,0.0,1.5018908,0.0,1.6304317,0.3350813,0.7009622,0.5003433,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1
